freq,psd_x,psd_y,psd_z,psd_xyz,zv(65.2),mzv(61.0),ei(74.8),2hump_ei(51.0),3hump_ei(49.8)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.5,7.346e-13,4.339e-12,6.522e-12,1.160e-11,0.996,0.994,0.993,0.983,0.976
3.1,2.264e-01,1.287e+00,9.426e-01,2.456e+00,0.991,0.986,0.984,0.960,0.941
4.6,3.017e+01,1.774e+02,9.822e+01,3.058e+02,0.984,0.976,0.973,0.929,0.896
6.2,1.394e+02,8.295e+02,4.287e+02,1.398e+03,0.976,0.964,0.961,0.892,0.841
7.7,2.767e+02,1.587e+03,8.047e+02,2.668e+03,0.967,0.950,0.946,0.849,0.779
9.3,3.553e+02,2.147e+03,1.149e+03,3.651e+03,0.957,0.934,0.929,0.802,0.712
10.8,3.517e+02,2.072e+03,1.177e+03,3.601e+03,0.945,0.917,0.911,0.750,0.640
12.4,3.068e+02,1.771e+03,1.148e+03,3.225e+03,0.932,0.898,0.890,0.695,0.566
13.9,2.434e+02,1.509e+03,1.067e+03,2.820e+03,0.918,0.877,0.869,0.637,0.491
15.5,2.134e+02,1.376e+03,1.093e+03,2.683e+03,0.903,0.855,0.845,0.578,0.418
17.0,2.019e+02,1.364e+03,1.136e+03,2.702e+03,0.886,0.831,0.821,0.519,0.347
18.6,1.824e+02,1.179e+03,1.051e+03,2.413e+03,0.868,0.806,0.794,0.459,0.281
20.1,1.778e+02,1.190e+03,1.077e+03,2.444e+03,0.850,0.780,0.767,0.401,0.220
21.7,1.777e+02,1.095e+03,1.111e+03,2.384e+03,0.830,0.752,0.739,0.344,0.166
23.2,1.557e+02,9.720e+02,1.067e+03,2.195e+03,0.809,0.724,0.710,0.290,0.120
24.8,1.303e+02,8.301e+02,1.089e+03,2.050e+03,0.787,0.695,0.680,0.239,0.083
26.3,1.213e+02,7.944e+02,1.176e+03,2.092e+03,0.764,0.664,0.649,0.192,0.055
27.9,1.230e+02,8.125e+02,1.327e+03,2.263e+03,0.741,0.633,0.617,0.149,0.040
29.4,1.154e+02,7.440e+02,1.420e+03,2.279e+03,0.716,0.602,0.585,0.112,0.037
31.0,1.085e+02,6.584e+02,1.475e+03,2.242e+03,0.691,0.570,0.553,0.079,0.039
32.5,1.044e+02,6.262e+02,1.676e+03,2.407e+03,0.664,0.537,0.521,0.053,0.040
34.1,9.529e+01,5.706e+02,1.938e+03,2.604e+03,0.637,0.505,0.488,0.035,0.039
35.6,9.056e+01,5.293e+02,2.239e+03,2.859e+03,0.610,0.472,0.456,0.028,0.034
37.2,9.082e+01,5.280e+02,2.545e+03,3.164e+03,0.581,0.439,0.424,0.030,0.028
38.7,8.658e+01,5.164e+02,2.837e+03,3.440e+03,0.552,0.406,0.392,0.034,0.020
40.3,8.639e+01,4.720e+02,3.312e+03,3.870e+03,0.523,0.373,0.360,0.038,0.014
41.8,9.146e+01,4.632e+02,3.961e+03,4.516e+03,0.492,0.341,0.329,0.038,0.012
43.4,8.522e+01,4.866e+02,4.638e+03,5.210e+03,0.462,0.309,0.299,0.036,0.016
44.9,7.173e+01,5.550e+02,5.713e+03,6.340e+03,0.431,0.277,0.270,0.032,0.022
46.5,7.540e+01,6.733e+02,7.116e+03,7.865e+03,0.399,0.246,0.241,0.026,0.026
48.0,8.232e+01,8.096e+02,8.606e+03,9.498e+03,0.367,0.216,0.213,0.018,0.029
49.6,1.083e+02,1.013e+03,1.043e+04,1.155e+04,0.335,0.187,0.187,0.012,0.030
51.1,1.316e+02,1.325e+03,1.287e+04,1.433e+04,0.302,0.158,0.162,0.011,0.028
52.7,2.171e+02,1.678e+03,1.584e+04,1.774e+04,0.270,0.131,0.138,0.013,0.025
54.2,3.716e+02,1.933e+03,1.904e+04,2.134e+04,0.237,0.104,0.115,0.019,0.019
55.8,4.780e+02,1.805e+03,1.995e+04,2.224e+04,0.204,0.080,0.094,0.025,0.014
57.3,5.227e+02,1.450e+03,2.009e+04,2.207e+04,0.172,0.058,0.075,0.029,0.012
58.9,5.520e+02,1.164e+03,2.127e+04,2.299e+04,0.139,0.043,0.058,0.032,0.012
60.4,5.744e+02,9.555e+02,2.334e+04,2.487e+04,0.110,0.035,0.042,0.031,0.014
62.0,5.751e+02,8.179e+02,2.759e+04,2.898e+04,0.087,0.036,0.030,0.028,0.018
63.5,5.778e+02,7.256e+02,2.952e+04,3.083e+04,0.069,0.042,0.022,0.027,0.023
65.1,6.099e+02,5.972e+02,2.843e+04,2.964e+04,0.062,0.052,0.020,0.027,0.025
66.6,5.912e+02,4.718e+02,2.622e+04,2.728e+04,0.068,0.067,0.023,0.029,0.024
68.2,4.453e+02,4.477e+02,2.025e+04,2.114e+04,0.084,0.081,0.028,0.034,0.024
69.7,3.446e+02,4.248e+02,1.591e+04,1.668e+04,0.105,0.093,0.033,0.042,0.025
71.3,3.532e+02,4.557e+02,1.315e+04,1.396e+04,0.132,0.104,0.037,0.057,0.028
72.8,3.478e+02,4.400e+02,1.015e+04,1.094e+04,0.163,0.113,0.039,0.081,0.032
74.4,3.366e+02,4.889e+02,8.254e+03,9.079e+03,0.194,0.120,0.040,0.108,0.039
75.9,3.003e+02,4.220e+02,6.651e+03,7.374e+03,0.224,0.126,0.039,0.136,0.056
77.5,2.754e+02,4.412e+02,5.419e+03,6.136e+03,0.254,0.130,0.036,0.166,0.081
