freq,psd_x,psd_y,psd_z,psd_xyz,shapers:,zv(71.8),mzv(70.6),ei(87.6),2hump_ei(112.8),3hump_ei(139.6)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,,1.000,1.000,1.000,1.000,1.000
1.6,7.518e-12,1.229e-14,8.689e-15,7.539e-12,,1.000,0.999,0.999,0.999,0.999
3.1,4.599e-01,1.998e-03,1.565e-03,4.635e-01,,0.999,0.999,0.999,0.998,0.998
4.7,2.299e+01,3.291e-01,1.929e-01,2.352e+01,,0.999,0.998,0.998,0.998,0.997
6.2,6.985e+01,2.046e+00,9.278e-01,7.282e+01,,0.998,0.997,0.997,0.997,0.996
7.8,1.301e+02,2.469e+00,1.959e+00,1.346e+02,,0.998,0.997,0.996,0.996,0.996
9.4,2.288e+02,3.249e+00,2.654e+00,2.347e+02,,0.997,0.996,0.996,0.995,0.995
10.9,2.810e+02,3.186e+00,2.597e+00,2.868e+02,,0.997,0.995,0.995,0.994,0.994
12.5,3.088e+02,2.500e+00,2.138e+00,3.134e+02,,0.996,0.995,0.994,0.993,0.993
14.1,3.300e+02,1.982e+00,1.638e+00,3.336e+02,,0.996,0.994,0.993,0.992,0.992
15.6,3.736e+02,1.981e+00,1.809e+00,3.774e+02,,0.995,0.993,0.992,0.991,0.991
17.2,4.129e+02,2.156e+00,1.892e+00,4.169e+02,,0.995,0.992,0.991,0.990,0.990
18.7,4.541e+02,2.184e+00,1.601e+00,4.579e+02,,0.994,0.991,0.990,0.989,0.988
20.3,5.048e+02,1.940e+00,1.385e+00,5.082e+02,,0.993,0.990,0.989,0.988,0.987
21.9,5.663e+02,1.801e+00,1.268e+00,5.694e+02,,0.993,0.989,0.989,0.987,0.986
23.4,6.304e+02,1.843e+00,1.119e+00,6.334e+02,,0.992,0.989,0.988,0.986,0.985
25.0,6.828e+02,1.853e+00,1.049e+00,6.857e+02,,0.992,0.988,0.987,0.985,0.984
26.5,7.405e+02,2.050e+00,1.074e+00,7.436e+02,,0.991,0.987,0.985,0.984,0.983
28.1,8.204e+02,1.847e+00,1.062e+00,8.233e+02,,0.990,0.985,0.984,0.982,0.981
29.7,9.034e+02,2.297e+00,8.655e-01,9.066e+02,,0.989,0.984,0.983,0.981,0.980
31.2,9.876e+02,2.583e+00,8.769e-01,9.910e+02,,0.989,0.983,0.982,0.980,0.979
32.8,1.094e+03,1.812e+00,9.749e-01,1.097e+03,,0.988,0.982,0.981,0.979,0.977
34.3,1.223e+03,1.898e+00,9.719e-01,1.225e+03,,0.987,0.981,0.980,0.977,0.976
35.9,1.354e+03,2.287e+00,9.743e-01,1.357e+03,,0.986,0.980,0.979,0.976,0.975
37.5,1.515e+03,3.266e+00,1.031e+00,1.520e+03,,0.986,0.979,0.977,0.975,0.973
39.0,1.671e+03,4.837e+00,1.028e+00,1.677e+03,,0.985,0.978,0.976,0.973,0.972
40.6,1.882e+03,4.877e+00,1.020e+00,1.888e+03,,0.984,0.977,0.975,0.972,0.970
42.2,2.117e+03,4.855e+00,1.126e+00,2.123e+03,,0.983,0.975,0.973,0.971,0.969
43.7,2.385e+03,8.403e+00,1.298e+00,2.395e+03,,0.982,0.974,0.972,0.969,0.967
45.3,2.744e+03,9.364e+00,1.487e+00,2.755e+03,,0.981,0.973,0.971,0.968,0.966
46.8,3.113e+03,1.008e+01,1.793e+00,3.125e+03,,0.980,0.972,0.969,0.966,0.964
48.4,3.598e+03,1.438e+01,2.152e+00,3.614e+03,,0.979,0.970,0.968,0.965,0.963
50.0,4.237e+03,2.171e+01,2.734e+00,4.262e+03,,0.978,0.969,0.967,0.963,0.961
51.5,4.950e+03,3.299e+01,3.665e+00,4.986e+03,,0.977,0.968,0.965,0.962,0.959
53.1,5.866e+03,5.015e+01,4.812e+00,5.921e+03,,0.976,0.966,0.964,0.960,0.958
54.6,7.163e+03,7.679e+01,6.688e+00,7.247e+03,,0.975,0.965,0.962,0.958,0.956
56.2,8.584e+03,1.129e+02,9.497e+00,8.707e+03,,0.974,0.963,0.961,0.957,0.954
57.8,1.056e+04,1.797e+02,1.363e+01,1.075e+04,,0.973,0.962,0.959,0.955,0.952
59.3,1.348e+04,3.163e+02,1.958e+01,1.381e+04,,0.972,0.960,0.958,0.953,0.951
60.9,1.638e+04,4.585e+02,2.518e+01,1.686e+04,,0.971,0.959,0.956,0.952,0.949
62.4,1.896e+04,5.421e+02,2.668e+01,1.953e+04,,0.970,0.957,0.954,0.950,0.947
64.0,2.258e+04,5.274e+02,2.770e+01,2.314e+04,,0.969,0.956,0.953,0.948,0.945
65.6,2.717e+04,4.664e+02,3.312e+01,2.767e+04,,0.968,0.954,0.951,0.946,0.943
67.1,3.239e+04,4.657e+02,4.394e+01,3.290e+04,,0.967,0.953,0.949,0.944,0.941
68.7,3.840e+04,5.390e+02,5.840e+01,3.900e+04,,0.965,0.951,0.948,0.943,0.940
70.3,4.193e+04,7.036e+02,6.413e+01,4.270e+04,,0.964,0.949,0.946,0.941,0.938
71.8,4.202e+04,7.955e+02,5.644e+01,4.288e+04,,0.963,0.948,0.944,0.939,0.936
73.4,4.075e+04,7.283e+02,6.358e+01,4.154e+04,,0.962,0.946,0.942,0.937,0.934
74.9,3.498e+04,5.945e+02,7.192e+01,3.564e+04,,0.961,0.944,0.940,0.935,0.932
76.5,2.820e+04,4.967e+02,6.721e+01,2.876e+04,,0.959,0.943,0.939,0.933,0.930
78.1,2.383e+04,4.274e+02,5.540e+01,2.431e+04,,0.958,0.941,0.937,0.931,0.928
79.6,1.875e+04,3.394e+02,3.934e+01,1.912e+04,,0.957,0.939,0.935,0.929,0.925
81.2,1.464e+04,2.592e+02,2.625e+01,1.492e+04,,0.956,0.937,0.933,0.927,0.923
82.7,1.233e+04,1.964e+02,1.956e+01,1.254e+04,,0.954,0.935,0.931,0.925,0.921
84.3,9.836e+03,1.311e+02,1.577e+01,9.983e+03,,0.953,0.934,0.929,0.923,0.919
85.9,7.772e+03,8.530e+01,1.403e+01,7.871e+03,,0.952,0.932,0.927,0.921,0.917
87.4,6.495e+03,5.650e+01,1.503e+01,6.566e+03,,0.950,0.930,0.925,0.919,0.915
89.0,5.193e+03,3.544e+01,1.624e+01,5.245e+03,,0.949,0.928,0.923,0.917,0.913
