freq,psd_x,psd_y,psd_z,psd_xyz,zv(49.8),mzv(49.2),ei(60.4),2hump_ei(77.6),3hump_ei(95.4)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.6,6.239e-14,6.131e-15,6.175e-12,6.244e-12,0.995,0.992,0.991,0.990,0.989
3.1,4.559e-03,4.794e-04,4.337e-01,4.387e-01,0.987,0.981,0.979,0.977,0.975
4.7,2.670e-01,4.360e-02,2.293e+01,2.324e+01,0.977,0.967,0.964,0.960,0.957
6.2,1.039e+00,1.744e-01,8.604e+01,8.726e+01,0.965,0.950,0.946,0.940,0.937
7.8,2.060e+00,3.959e-01,1.675e+02,1.700e+02,0.950,0.930,0.924,0.918,0.913
9.3,3.477e+00,6.966e-01,3.022e+02,3.064e+02,0.933,0.908,0.900,0.892,0.886
10.9,4.057e+00,9.198e-01,3.606e+02,3.655e+02,0.915,0.883,0.874,0.864,0.857
12.5,4.702e+00,7.272e-01,4.187e+02,4.241e+02,0.894,0.855,0.844,0.833,0.825
14.0,5.492e+00,6.120e-01,4.945e+02,5.006e+02,0.871,0.826,0.813,0.800,0.791
15.6,6.715e+00,7.475e-01,5.992e+02,6.067e+02,0.847,0.794,0.779,0.766,0.755
17.1,7.812e+00,1.533e+00,6.909e+02,7.002e+02,0.820,0.761,0.744,0.729,0.717
18.7,8.959e+00,2.128e+00,7.848e+02,7.959e+02,0.792,0.725,0.707,0.691,0.679
20.2,9.737e+00,2.279e+00,8.480e+02,8.600e+02,0.762,0.689,0.669,0.652,0.639
21.8,9.630e+00,2.055e+00,8.201e+02,8.318e+02,0.731,0.651,0.630,0.612,0.598
23.4,1.043e+01,1.610e+00,8.616e+02,8.737e+02,0.698,0.612,0.590,0.572,0.557
24.9,1.259e+01,1.301e+00,1.014e+03,1.027e+03,0.663,0.572,0.549,0.531,0.516
26.5,1.459e+01,2.838e+00,1.151e+03,1.169e+03,0.627,0.531,0.508,0.490,0.474
28.0,1.485e+01,3.677e+00,1.143e+03,1.161e+03,0.590,0.491,0.466,0.449,0.433
29.6,1.572e+01,2.554e+00,1.175e+03,1.194e+03,0.552,0.450,0.425,0.409,0.393
31.1,2.022e+01,3.981e+00,1.487e+03,1.511e+03,0.513,0.409,0.385,0.369,0.354
32.7,2.622e+01,3.175e+00,1.868e+03,1.898e+03,0.473,0.368,0.345,0.330,0.315
34.3,3.377e+01,6.121e+00,2.298e+03,2.337e+03,0.432,0.327,0.306,0.292,0.278
35.8,4.678e+01,4.849e+00,3.069e+03,3.121e+03,0.391,0.288,0.268,0.256,0.243
37.4,6.129e+01,6.991e+00,3.872e+03,3.941e+03,0.349,0.249,0.231,0.221,0.209
38.9,8.289e+01,1.161e+01,4.799e+03,4.894e+03,0.306,0.212,0.196,0.188,0.177
40.5,1.286e+02,8.894e+00,6.921e+03,7.059e+03,0.263,0.175,0.163,0.156,0.148
42.0,2.078e+02,1.314e+01,1.067e+04,1.089e+04,0.220,0.140,0.132,0.127,0.120
43.6,3.767e+02,2.891e+01,1.837e+04,1.877e+04,0.177,0.107,0.103,0.100,0.095
45.2,7.307e+02,5.003e+01,3.343e+04,3.421e+04,0.134,0.076,0.076,0.075,0.072
46.7,1.165e+03,7.065e+01,5.004e+04,5.127e+04,0.098,0.052,0.052,0.052,0.053
48.3,1.291e+03,1.010e+02,5.255e+04,5.394e+04,0.072,0.037,0.034,0.033,0.036
49.8,1.213e+03,1.690e+02,4.648e+04,4.786e+04,0.062,0.035,0.025,0.024,0.026
51.4,1.053e+03,2.069e+02,3.769e+04,3.895e+04,0.074,0.044,0.024,0.021,0.023
52.9,8.116e+02,2.074e+02,2.721e+04,2.823e+04,0.099,0.058,0.029,0.024,0.027
54.5,6.620e+02,2.437e+02,2.122e+04,2.213e+04,0.134,0.076,0.038,0.032,0.033
56.1,5.313e+02,2.626e+02,1.634e+04,1.713e+04,0.174,0.091,0.047,0.041,0.038
57.6,4.451e+02,2.458e+02,1.270e+04,1.339e+04,0.214,0.105,0.052,0.047,0.043
59.2,4.451e+02,2.303e+02,1.100e+04,1.168e+04,0.254,0.116,0.055,0.052,0.046
60.7,4.530e+02,2.159e+02,9.656e+03,1.033e+04,0.293,0.124,0.056,0.055,0.047
62.3,4.600e+02,2.187e+02,8.942e+03,9.621e+03,0.331,0.130,0.054,0.056,0.047
63.9,4.772e+02,2.238e+02,8.758e+03,9.459e+03,0.367,0.133,0.049,0.055,0.045
65.4,4.242e+02,1.911e+02,7.497e+03,8.112e+03,0.403,0.133,0.042,0.053,0.042
67.0,3.150e+02,1.433e+02,5.396e+03,5.854e+03,0.437,0.131,0.034,0.050,0.038
68.5,2.266e+02,1.098e+02,3.874e+03,4.211e+03,0.471,0.127,0.029,0.045,0.033
70.1,1.640e+02,8.727e+01,2.827e+03,3.078e+03,0.502,0.120,0.028,0.040,0.027
71.6,1.230e+02,7.288e+01,2.263e+03,2.459e+03,0.533,0.111,0.032,0.033,0.022
73.2,9.555e+01,7.452e+01,1.953e+03,2.123e+03,0.562,0.100,0.040,0.026,0.019
74.8,7.407e+01,9.395e+01,1.560e+03,1.728e+03,0.589,0.094,0.057,0.019,0.018
76.3,6.338e+01,1.118e+02,1.356e+03,1.531e+03,0.615,0.088,0.078,0.016,0.017
77.9,5.450e+01,1.288e+02,1.170e+03,1.353e+03,0.639,0.084,0.101,0.015,0.019
79.4,4.447e+01,1.323e+02,8.437e+02,1.020e+03,0.661,0.081,0.126,0.017,0.021
81.0,4.039e+01,1.401e+02,6.345e+02,8.150e+02,0.681,0.081,0.152,0.021,0.024
82.5,4.082e+01,1.437e+02,5.217e+02,7.062e+02,0.700,0.084,0.178,0.028,0.030
84.1,4.172e+01,1.362e+02,3.427e+02,5.206e+02,0.717,0.090,0.205,0.035,0.037
85.7,4.873e+01,1.344e+02,2.662e+02,4.493e+02,0.732,0.100,0.233,0.041,0.042
87.2,5.714e+01,1.253e+02,2.418e+02,4.242e+02,0.745,0.112,0.261,0.047,0.047
88.8,6.276e+01,1.273e+02,2.043e+02,3.943e+02,0.756,0.127,0.289,0.051,0.051
90.3,7.404e+01,1.464e+02,2.415e+02,4.620e+02,0.766,0.145,0.317,0.055,0.054
91.9,8.943e+01,1.700e+02,2.825e+02,5.420e+02,0.773,0.173,0.345,0.057,0.056
93.4,1.039e+02,1.919e+02,2.968e+02,5.926e+02,0.779,0.202,0.372,0.058,0.057
95.0,1.160e+02,1.757e+02,3.120e+02,6.038e+02,0.782,0.231,0.399,0.058,0.057
96.6,1.330e+02,1.663e+02,3.128e+02,6.121e+02,0.784,0.260,0.424,0.056,0.056
98.1,1.497e+02,1.706e+02,3.247e+02,6.449e+02,0.784,0.289,0.449,0.053,0.055
99.7,1.806e+02,1.778e+02,3.410e+02,6.994e+02,0.782,0.317,0.472,0.049,0.052
101.2,2.099e+02,1.738e+02,3.525e+02,7.362e+02,0.778,0.345,0.494,0.044,0.049
102.8,2.318e+02,1.494e+02,3.362e+02,7.175e+02,0.772,0.373,0.515,0.037,0.044
104.3,2.615e+02,1.193e+02,3.409e+02,7.217e+02,0.764,0.399,0.533,0.030,0.039
