freq,psd_x,psd_y,psd_z,psd_xyz,shapers:,zv(44.8),mzv(43.6),ei(53.6),2hump_ei(69.0),3hump_ei(85.2)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,,1.000,1.000,1.000,1.000,1.000
1.6,2.095e-14,6.155e-12,1.736e-14,6.193e-12,,0.999,0.999,0.999,0.999,0.998
3.1,4.916e-03,4.559e-01,3.873e-03,4.647e-01,,0.998,0.998,0.997,0.997,0.997
4.7,1.351e+00,2.596e+01,4.503e-01,2.776e+01,,0.998,0.996,0.996,0.996,0.995
6.2,1.035e+01,6.726e+01,2.173e+00,7.978e+01,,0.997,0.995,0.995,0.994,0.994
7.8,8.655e+00,1.076e+02,4.131e+00,1.204e+02,,0.996,0.994,0.994,0.993,0.992
9.3,1.043e+01,2.068e+02,5.256e+00,2.225e+02,,0.995,0.993,0.992,0.991,0.991
10.9,9.172e+00,2.670e+02,5.814e+00,2.820e+02,,0.994,0.992,0.991,0.990,0.989
12.4,8.066e+00,3.046e+02,4.412e+00,3.171e+02,,0.994,0.990,0.990,0.988,0.987
14.0,5.774e+00,3.350e+02,3.715e+00,3.445e+02,,0.992,0.989,0.988,0.986,0.985
15.6,4.287e+00,3.902e+02,3.727e+00,3.982e+02,,0.991,0.987,0.986,0.984,0.983
17.1,5.035e+00,4.433e+02,3.661e+00,4.520e+02,,0.990,0.985,0.984,0.982,0.981
18.7,5.391e+00,5.316e+02,2.955e+00,5.400e+02,,0.989,0.984,0.982,0.980,0.979
20.2,4.567e+00,6.266e+02,3.040e+00,6.342e+02,,0.988,0.982,0.980,0.978,0.977
21.8,4.520e+00,7.187e+02,2.852e+00,7.261e+02,,0.987,0.980,0.979,0.976,0.975
23.3,4.316e+00,8.050e+02,2.739e+00,8.121e+02,,0.985,0.979,0.977,0.974,0.972
24.9,3.932e+00,9.168e+02,2.272e+00,9.230e+02,,0.984,0.977,0.975,0.972,0.970
26.5,4.346e+00,1.099e+03,2.328e+00,1.106e+03,,0.983,0.975,0.972,0.969,0.967
28.0,4.788e+00,1.349e+03,2.516e+00,1.356e+03,,0.981,0.972,0.970,0.967,0.965
29.6,3.891e+00,1.686e+03,2.298e+00,1.693e+03,,0.980,0.970,0.968,0.964,0.962
31.1,4.101e+00,2.117e+03,2.034e+00,2.124e+03,,0.978,0.968,0.965,0.962,0.959
32.7,4.012e+00,2.745e+03,1.982e+00,2.751e+03,,0.977,0.966,0.963,0.959,0.957
34.2,4.814e+00,3.753e+03,3.026e+00,3.761e+03,,0.975,0.964,0.961,0.957,0.954
35.8,5.703e+00,5.215e+03,3.153e+00,5.224e+03,,0.973,0.962,0.958,0.954,0.951
37.3,1.181e+01,8.104e+03,4.562e+00,8.120e+03,,0.972,0.959,0.956,0.951,0.948
38.9,4.118e+01,1.488e+04,1.179e+01,1.494e+04,,0.970,0.956,0.953,0.948,0.945
40.5,1.337e+02,2.586e+04,3.109e+01,2.603e+04,,0.968,0.954,0.950,0.945,0.942
42.0,2.462e+02,3.417e+04,5.197e+01,3.447e+04,,0.966,0.951,0.947,0.942,0.939
43.6,2.443e+02,3.379e+04,5.758e+01,3.409e+04,,0.964,0.948,0.944,0.939,0.936
45.1,1.441e+02,2.716e+04,5.211e+01,2.736e+04,,0.962,0.946,0.941,0.936,0.932
46.7,7.330e+01,2.182e+04,4.774e+01,2.194e+04,,0.960,0.943,0.938,0.933,0.929
48.2,4.139e+01,1.750e+04,4.253e+01,1.759e+04,,0.959,0.941,0.936,0.930,0.926
49.8,2.683e+01,1.323e+04,3.570e+01,1.329e+04,,0.956,0.938,0.932,0.926,0.922
51.4,2.430e+01,1.080e+04,3.305e+01,1.085e+04,,0.954,0.934,0.929,0.923,0.919
52.9,2.577e+01,8.745e+03,2.769e+01,8.799e+03,,0.952,0.931,0.926,0.919,0.915
54.5,1.683e+01,6.804e+03,2.230e+01,6.843e+03,,0.950,0.928,0.922,0.916,0.911
56.0,2.621e+01,5.712e+03,2.046e+01,5.758e+03,,0.948,0.925,0.919,0.912,0.908
57.6,2.366e+01,4.831e+03,1.880e+01,4.873e+03,,0.945,0.922,0.916,0.909,0.904
59.1,2.254e+01,4.076e+03,1.682e+01,4.116e+03,,0.943,0.919,0.912,0.905,0.900
60.7,2.689e+01,3.640e+03,1.645e+01,3.683e+03,,0.941,0.916,0.909,0.902,0.897
62.2,2.875e+01,3.215e+03,1.571e+01,3.260e+03,,0.938,0.912,0.905,0.898,0.893
63.8,4.199e+01,2.845e+03,1.375e+01,2.901e+03,,0.936,0.909,0.902,0.894,0.889
65.4,6.200e+01,2.679e+03,1.262e+01,2.753e+03,,0.933,0.905,0.898,0.890,0.884
66.9,7.120e+01,2.534e+03,1.095e+01,2.616e+03,,0.931,0.902,0.894,0.886,0.880
68.5,6.139e+01,2.530e+03,8.668e+00,2.600e+03,,0.928,0.898,0.890,0.882,0.876
70.0,4.630e+01,2.432e+03,8.600e+00,2.487e+03,,0.926,0.895,0.887,0.878,0.872
71.6,4.906e+01,2.122e+03,2.703e+01,2.198e+03,,0.923,0.891,0.883,0.874,0.868
73.1,7.720e+01,1.814e+03,5.033e+01,1.942e+03,,0.920,0.888,0.879,0.870,0.864
74.7,7.342e+01,1.902e+03,5.906e+01,2.035e+03,,0.917,0.884,0.875,0.866,0.859
76.3,6.892e+01,1.969e+03,5.842e+01,2.097e+03,,0.915,0.880,0.871,0.861,0.855
77.8,6.231e+01,1.805e+03,4.963e+01,1.917e+03,,0.912,0.876,0.866,0.857,0.850
79.4,7.830e+01,1.610e+03,3.931e+01,1.728e+03,,0.909,0.872,0.862,0.853,0.846
80.9,8.313e+01,1.378e+03,2.815e+01,1.490e+03,,0.906,0.868,0.858,0.848,0.841
82.5,7.750e+01,1.161e+03,2.067e+01,1.259e+03,,0.903,0.864,0.854,0.844,0.837
84.0,7.839e+01,9.850e+02,1.526e+01,1.079e+03,,0.900,0.860,0.850,0.839,0.832
85.6,8.195e+01,8.093e+02,1.113e+01,9.024e+02,,0.897,0.856,0.845,0.835,0.828
87.1,7.437e+01,6.536e+02,9.051e+00,7.370e+02,,0.894,0.852,0.841,0.830,0.823
88.7,6.990e+01,5.115e+02,9.720e+00,5.911e+02,,0.891,0.848,0.836,0.825,0.818
90.3,6.382e+01,3.866e+02,9.272e+00,4.597e+02,,0.888,0.843,0.832,0.821,0.813
91.8,5.274e+01,2.929e+02,9.303e+00,3.550e+02,,0.884,0.839,0.827,0.816,0.808
93.4,3.716e+01,2.125e+02,1.061e+01,2.603e+02,,0.881,0.835,0.823,0.811,0.803
94.9,3.356e+01,1.492e+02,1.260e+01,1.954e+02,,0.878,0.830,0.818,0.807,0.799
96.5,3.274e+01,1.023e+02,1.497e+01,1.500e+02,,0.875,0.826,0.814,0.802,0.794
98.0,2.542e+01,7.594e+01,1.732e+01,1.187e+02,,0.871,0.822,0.809,0.797,0.789
99.6,2.310e+01,6.535e+01,1.999e+01,1.084e+02,,0.868,0.817,0.804,0.792,0.783
101.2,2.419e+01,7.020e+01,2.514e+01,1.195e+02,,0.864,0.812,0.799,0.787,0.778
102.7,2.120e+01,7.328e+01,2.919e+01,1.237e+02,,0.861,0.808,0.794,0.782,0.773
104.3,1.982e+01,7.406e+01,3.176e+01,1.256e+02,,0.857,0.803,0.790,0.777,0.768
105.8,1.931e+01,8.143e+01,3.758e+01,1.383e+02,,0.854,0.799,0.785,0.772,0.763
107.4,1.737e+01,8.683e+01,4.283e+01,1.470e+02,,0.850,0.794,0.780,0.767,0.758
108.9,1.415e+01,9.143e+01,4.708e+01,1.527e+02,,0.847,0.789,0.775,0.762,0.753
110.5,1.580e+01,1.017e+02,5.646e+01,1.739e+02,,0.843,0.785,0.770,0.756,0.747
112.0,1.607e+01,1.063e+02,6.517e+01,1.875e+02,,0.839,0.780,0.765,0.751,0.742
113.6,1.283e+01,1.116e+02,7.433e+01,1.987e+02,,0.835,0.775,0.759,0.746,0.736
115.2,1.275e+01,1.272e+02,9.001e+01,2.299e+02,,0.832,0.770,0.754,0.741,0.731
116.7,1.250e+01,1.372e+02,1.061e+02,2.558e+02,,0.828,0.765,0.749,0.735,0.725
118.3,1.284e+01,1.517e+02,1.289e+02,2.935e+02,,0.824,0.760,0.744,0.730,0.720
119.8,1.368e+01,1.768e+02,1.744e+02,3.649e+02,,0.820,0.755,0.739,0.725,0.715
